Positive-Positive news,7
Positive-Positive community-Dcinside,21
Positive-Positive community-Twitter,43
Positive-Positive community-Todayhumor,2
Negative-Negative news,2
Negative-Negative community-Twitter,21
Negative-Negative community-Dcinside,17
Negative-Negative community-Todayhumor,1
