Positive-Positive news,90
Positive-Positive community-Twitter,4
Positive-Positive community-Dcinside,40
Positive-Positive community-Instiz,2
Negative-Negative news,41
Negative-Negative community-Twitter,5
Negative-Negative community-Dcinside,76
Negative-Negative community-Todayhumor,1
