Positive-Positive news,16
Positive-Positive community-Twitter,58
Positive-Positive community-Dcinside,5
Positive-Positive community-Todayhumor,6
Negative-Negative news,123
Negative-Negative community-Twitter,118
Negative-Negative community-Dcinside,13
Negative-Negative community-Todayhumor,22
Negative-Negative community-Others,11
